Month,CPI_SA,Core_SA,Services_SA,PPI_SA,CoreGoods_SA,PPI_Mfg_SA,USDTRY,EURTRY
2012-06-01,205.5214258,196.0668621,219.987496,201.8312405,143.1256352,196.57,1.8204523809523812,2.280138095238095
2012-07-01,206.1267055,196.661873,221.1973889,201.1973297,143.5515053,196.37,1.8092386363636364,2.2275659090909095
2012-08-01,207.9844475,197.8512442,222.4168106,201.7123822,144.1228007,197.12,1.79014000,2.21661000
2012-09-01,209.8517732,199.3946441,223.7416534,203.7924018,144.1386655,198.97,1.7999524999999998,2.31067000
2012-10-01,210.9813098,201.1639874,225.3376832,204.1489766,143.8391076,199.7,1.79846000,2.33386500
2012-11-01,211.6908929,202.4826736,226.6327506,207.5364372,144.646921,198.61,1.78975000,2.2964659090909088
2012-12-01,213.304724,203.5572129,228.0434129,207.2888158,145.6410799,198.63,1.7833833333333335,2.3388714285714283
2013-01-01,215.4748243,204.3239315,229.4717559,206.9124313,146.1157523,199.21,1.7681136363636365,2.347009090909091
2013-02-01,216.4820518,205.2181363,230.780007,206.6450002,146.6865385,200.54,1.77298000,2.37298250
2013-03-01,217.7541404,205.9476898,232.150309,208.3288257,146.9424635,202.34,1.8088261904761902,2.3469261904761907
2013-04-01,217.9052258,206.5162722,233.5888199,207.2690061,147.1920831,202.09,1.7980809523809524,2.3376238095238095
2013-05-01,219.0368447,207.4635399,235.2660055,209.3391209,147.6638514,201.95,1.8244136363636363,2.3687636363636364
2013-06-01,222.273151,208.9147016,237.1591802,212.3898164,148.2358994,204.13,1.8962124999999999,2.50090250
2013-07-01,223.9661083,210.5466925,238.5595536,214.4995506,149.732209,206.5,1.9322239130434782,2.5262304347826086
2013-08-01,224.6268581,212.0319971,240.0551524,214.5886943,150.8905743,209.13,1.9564631578947371,2.604178947368421
2013-09-01,226.1902662,213.4618012,241.6404616,216.4805217,152.4344362,212.23,2.0189666666666666,2.6926071428571428
2013-10-01,227.328749,214.1640046,242.9978619,217.9662501,153.8186939,212.05,1.9920999999999998,2.7156222222222226
2013-11-01,227.5342535,215.18451,244.8491609,219.3133104,154.2080893,213.66,2.0235738095238096,2.731554761904762
2013-12-01,229.4717923,217.0235791,246.6395952,221.74,155.1767997,215.42,2.059686363636364,2.82055000
2014-01-01,232.3244711,218.9811658,248.2425769,229.1,156.7593984,222.5,2.2188409090909094,3.0242522727272725
2014-02-01,233.7851265,221.2986227,250.1777296,232.27,159.0757837,226.64,2.2147525000000003,3.0221324999999997
2014-03-01,236.1977763,223.4657036,252.0868924,233.98,161.398416,228.97,2.219790476190476,3.0685357142857144
2014-04-01,238.4042913,225.0418587,253.7188101,234.18,163.0979719,229.39,2.129383333333333,2.940895238095238
2014-05-01,240.0905397,226.3584781,255.3045834,232.96,164.0782647,228.92,2.0926850000000004,2.87706500
2014-06-01,242.4328508,227.9794488,256.9164281,233.09,164.9510231,229.22,2.117630952380952,2.878342857142857
2014-07-01,244.4241916,229.846869,259.1501611,234.79,166.0238877,230.76,2.1205825000000003,2.87901750
2014-08-01,245.6423511,230.8064721,261.048779,235.78,166.4928019,232.12,2.160216666666667,2.8794452380952382
2014-09-01,246.0524242,231.5148277,262.9287526,237.79,166.8207071,234.21,2.205568181818182,2.852706818181818
2014-10-01,247.7790201,232.8528551,264.8123996,239.97,167.3048155,235.04,2.26034750,2.86674750
2014-11-01,248.5013482,233.6297177,266.3907144,237.65,168.3003835,233.06,2.2355875000000003,2.78969250
2014-12-01,248.3976375,233.921599,268.0862976,235.84,168.6704179,231.85,2.2897239130434786,2.824241304347826
2015-01-01,249.2406408,234.6542442,269.8769441,236.61,169.8836436,232.28,2.3304404761904762,2.718661904761905
2015-02-01,251.5375874,236.0470124,271.7679282,239.46,170.0257442,235.65,2.45743250,2.79239250
2015-03-01,254.4058427,237.9412479,273.731857,241.97,170.8272779,237.96,2.5861704545454547,2.80717500
2015-04-01,257.4444494,240.2604541,275.801517,245.42,171.9573714,241.46,2.650535714285714,2.8559714285714284
2015-05-01,259.518008,242.7348207,277.8251016,248.15,174.3436118,245.16,2.6485236842105264,2.957771052631579
2015-06-01,259.8934085,244.2344139,279.9720322,248.78,175.3633949,246.16,2.7035886363636363,3.0294568181818184
2015-07-01,260.8496557,245.3309707,281.5209274,247.99,176.7346316,245.34,2.697029545454545,2.9736590909090905
2015-08-01,262.993553,246.5901721,283.7903138,250.43,177.8740975,247.57,2.848119047619048,3.1700690476190476
2015-09-01,265.4342771,248.3216677,285.6738857,254.25,180.2230762,251.39,3.00541750,3.37794250
2015-10-01,266.7331563,250.2170511,287.9007127,253.74,182.3025984,250.46,2.9322166666666662,3.3015785714285713
2015-11-01,268.6695181,251.8104935,289.89706,250.13,183.9365268,247.3,2.8738785714285715,3.0922095238095237
2015-12-01,270.2399008,253.3539128,291.8168727,249.31,185.0787683,246.64,2.9198565217391304,3.1725434782608692
2016-01-01,272.9281286,254.8047155,293.9166603,250.67,186.2919868,248.01,3.0096575000000003,3.2698625000000003
2016-02-01,273.5864615,256.0239365,295.8367657,250.16,186.9612864,248.37,2.943309523809524,3.2657357142857144
2016-03-01,273.5019318,257.5480663,297.5945246,251.17,187.5522929,249.93,2.894341304347826,3.2092347826086955
2016-04-01,274.5226946,259.620707,299.4683778,252.47,189.155401,251.38,2.8372928571428573,3.2163071428571426
2016-05-01,276.7115327,261.7033319,301.4184673,256.21,190.255245,256.07,2.9292261904761903,3.3177190476190472
2016-06-01,279.8122944,263.2581583,303.1864529,257.27,191.8742997,256.81,2.9196113636363634,3.280313636363637
2016-07-01,283.621343,264.5899776,305.3550927,257.81,192.8264032,257.21,2.9602166666666667,3.273913888888889
2016-08-01,284.0244597,265.2984706,307.245691,258.01,193.4223394,258.18,2.9655318181818178,3.323740909090909
2016-09-01,284.7074952,266.0187231,309.339091,258.77,193.0737495,258.98,2.962761111111111,3.319497222222222
2016-10-01,285.9183658,267.1372484,311.2554308,260.94,193.7211983,261.4,3.0707166666666668,3.3896928571428573
2016-11-01,287.626586,269.3337548,313.6623028,266.16,195.0843871,267.69,3.2703863636363635,3.5375704545454547
2016-12-01,293.1950397,272.7337899,316.0226939,274.09,197.4422734,276.42,3.49207500,3.6845954545454545
2017-01-01,298.1024262,276.3628433,318.5352277,284.99,199.64036,287.12,3.73825000,3.9690590909090906
2017-02-01,301.3346442,279.8541072,320.8473185,288.59,203.0763457,291.03,3.67567250,3.91451250
2017-03-01,304.4727926,282.6941116,323.4782246,291.58,206.654732,294.95,3.669245652173913,3.91930000
2017-04-01,307.2823305,284.9030045,326.1167691,293.79,208.1447869,297.31,3.65711750,3.91362750
